Document,abbrev
ASHRAE BuildingEQ,BEQ
Commercial Building Energy Saver,CBES
Building Component Library,BCL
BuildingSync,BuildingSync 
National Residential Efficiency Measures Database,REMDB 
DOE Audit Template Tool,ATT 
Illinois Statewide TRM,IL TRM 
New York TRM,NY TRM 
ASHRAE Standard 100,Std. 100 
ASHRAE 1651-RP,1651-RP 
IEA ECBS Annex 46,IEA 46 
Commercial Energy Auditing Reference Handbook,Doty 
Wulfinghoff Enegy Efficiency Manual,Wulfinghoff 
Washinton State University Energy Audit Workbook,WSU 
Thumann Energy Conservation in Existing Buildings Deskbook,Thumann 
Lyberg Source Book for Energy Auditors,IEA 11
